,filename,dominant_color_rgb,dominant_color_name,exact_color_name
135,632839625480d47fd6b7d4d3717679f6920cb416.jpg,"(30, 42, 53)",green,darkslategrey
136,7f0b104012944b5e7293e95ff28843654d700dac.jpg,"(212, 207, 197)",gray,lightgrey
137,ceb8a4d0b747358190da12e677397818a553a360.jpg,"(34, 25, 24)",black,black
138,7e4a72ca8549d7566b5aa7ff62c8b5f8f5c67b72.jpg,"(233, 231, 230)",white,linen
139,dbb2be66e3bb3e823e08d633f7e359e935c8d069.jpg,"(206, 208, 185)",gray,silver
140,d63a9d1459aeea51a8f8644c4c20d3eaf47e82cb.jpg,"(147, 125, 73)",brown,sienna
141,1cd8a055301b0077617fbc37f01afb13cbe71a7c.jpg,"(41, 29, 25)",black,black
142,76a891c2100d4e8c708068687b2dfec60113d62b.jpg,"(54, 52, 41)",green,darkslategrey
143,64154ebfbdef51ac2a902e987efb5d1503106d70.jpg,"(200, 116, 24)",brown,chocolate
144,13ab7cacd0520e7c28dbd1a7c3d158ee287f3fdf.jpg,"(192, 216, 231)",blue,powderblue
145,1d6009bfa703de9ab501c49521305e7b5f3cd7c3.jpg,"(188, 161, 182)",gray,darkgrey
146,27cdf26cb9473826ad0c73f050d455d9bb29cf1c.jpg,"(211, 146, 132)",red,darksalmon
147,69eb2f0667a7d87f76c2bf6be5d57c80e2e73c79.jpg,"(85, 63, 48)",green,darkolivegreen
148,156dd062c582890c0c84e68a7d1c39d68d45a6ca.jpg,"(228, 213, 209)",gray,gainsboro
149,3599130d738279f9fa628c87c4d86779ad57563f.jpg,"(234, 230, 222)",gray,gainsboro
150,0d7e57a2b2f2fca7a079f0617cb2ced78206a4ee.jpg,"(36, 23, 8)",black,black
151,e2637723900f5c23a128a8af81ea1ac8bc1e6f25.jpg,"(211, 213, 211)",gray,lightgrey
152,30e1788adec7c3dfd3fd62c8007092f0c40498b7.jpg,"(54, 67, 26)",green,darkslategrey
153,de47c6e6e4c75524c82cb0c5570d61360287a280.jpg,"(52, 40, 25)",green,darkslategrey
154,cec49873e8144a24458499eb179e3bebc45fa126.jpg,"(237, 219, 202)",brown,bisque
155,d2f84f4e40c131f10ee0d5efd121de324f38daf8.jpg,"(205, 155, 121)",red,darksalmon
156,0e074e7683519969f11b96af5528fc5bcbe39975.jpg,"(190, 194, 199)",gray,silver
157,9a9734fd611cb8b4646f29ef51fa84a12cf121a6.jpg,"(33, 37, 43)",green,darkslategrey
158,1efc4b2e2757b481f214d78e17fdda6211589e7c.jpg,"(231, 233, 233)",purple,lavender
159,cb4163f3c6f8c58cc515229a357f089c26654e42.jpg,"(209, 234, 230)",gray,gainsboro
160,dd99b78a6c5d2229c0391536b9c5826cf1f466c1.jpg,"(71, 59, 64)",green,darkslategrey
161,7292933628d5aec8aedc71bf25287b23875b49a8.jpg,"(28, 17, 13)",black,black
162,081a5499d4f1f93c5d2929057dcf6db08cdc35e7.jpg,"(35, 19, 34)",black,black
163,1592fa1ebd6401049cb9af56d21f660ddaba2a55.jpg,"(203, 116, 91)",red,indianred
164,99150f9f9c5dc602ba14c6aedd165cc172f08a36.jpg,"(204, 199, 173)",gray,silver
165,faca18a584ee7d037b8eb672feffccc7afdc82fe.jpg,"(243, 241, 236)",white,linen
166,9a184da7e6a6979a42d6cffbac7f2e095b0267d0.jpg,"(238, 240, 241)",white,whitesmoke
167,76bb93af804f297322832e96fa0ffa7b61b10284.jpg,"(238, 214, 185)",brown,wheat
168,6f33fd1fb436c08a1c58774dbc15e2f1ade1b6e3.jpg,"(47, 18, 14)",black,black
169,dfa275711755650d8af4508b1b7f24f7378dd478.jpg,"(196, 166, 89)",yellow,darkkhaki
170,46a27e01c13eb6d0ff45426aa82a663e6bb898e2.jpg,"(132, 111, 54)",brown,sienna
171,af1558194992a6586fd752d89e7eabf40f1d26cd.jpg,"(43, 31, 31)",black,black
172,4feeead0ec39f1513a2914bd633862891fa5531c.jpg,"(167, 194, 195)",gray,silver
173,c09d0cc0c7aada551d7525558cc8e73639f55732.jpg,"(192, 190, 162)",gray,silver
174,1b7c26d78694f6406af8061560c885bd752ec97a.jpg,"(45, 28, 17)",black,black
175,6223c4410785960123ce6d78f31e3d838402a0df.jpg,"(179, 156, 155)",brown,rosybrown
176,b5ff04a30411fed1aefbc120b2970827ee39bec7.jpg,"(233, 214, 204)",gray,gainsboro
177,66760cd3866dcf8327b33daa813e7aa62cc63640.jpg,"(194, 155, 122)",brown,rosybrown
178,40246920a1d4d6b2fe41c998d160260c1290b21c.jpg,"(205, 138, 98)",brown,peru
179,0b250f711d805ffea31cd2466a78624081bdb3f9.jpg,"(32, 20, 11)",black,black
180,dd1345a1d96112984e8c10d7a15e7ba577314594.jpg,"(46, 38, 23)",black,black
181,09fd06e2ca02377f0bbd8182c2112734f91e7620.jpg,"(10, 22, 39)",black,black
182,31bbb9a875fe0df086b069aac9b6a15c3a20e84c.jpg,"(206, 204, 185)",gray,silver
183,a00d70398b35dadf163e3076272778fdc71e755c.jpg,"(184, 125, 83)",brown,peru
184,45e90439f21db8ebd1ff50faf4b4954e5bc7b231.jpg,"(115, 35, 27)",brown,saddlebrown
185,a143c52e0b892d9b4e8bc94443bcbaddef69ab4e.jpg,"(175, 182, 189)",gray,silver
186,a020b2b335e9b117d5a086f607d2556389d5d661.jpg,"(49, 22, 17)",black,black
187,78ae2bdd283d74aeb2d2f4c7836ae4c60734d292.jpg,"(20, 21, 18)",black,black
188,2985bf4b552c1549ebf9d494096bf3ded5fd1976.jpg,"(203, 95, 115)",red,indianred
189,28dae081764bae7e5f767b4332228ef311a8a139.jpg,"(37, 28, 26)",black,black
190,547393042b996c61c2753c3d04dd3f131f2f0255.jpg,"(198, 158, 152)",brown,rosybrown
191,1b5bbe6c786db29f0f6be3201dfc4e17239ab56d.jpg,"(224, 182, 95)",brown,sandybrown
192,04fdfafe217d1dbbe21f23f6848f10bef11b816c.jpg,"(149, 59, 56)",brown,brown
193,5f644842b0c248339179a55bbb73b20367228eec.jpg,"(52, 40, 35)",green,darkslategrey
